sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,model,observed_tc,predicted_tc,error,abs_error,abs_pct_error
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Roy-Adler,2.8231,2.6781219419954314,-0.14497805800456876,0.14497805800456876,5.135420566206253
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Krupiczka,2.8231,3.0599347452257954,0.23683474522579528,0.23683474522579528,8.389173080152856
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Zimmerman (1989; spherical pores),2.8231,2.6841683730492223,-0.13893162695077788,0.13893162695077788,4.921243560298178
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Zimmerman (1989; thin cracks),2.8231,2.5164647779753597,-0.30663522202464044,0.30663522202464044,10.861649322540485
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Zimmerman (1989; needle-like pores),2.8231,2.6689964890834914,-0.15410351091650876,0.15410351091650876,5.458662849934779
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,"Modified Maxwell (Eucken, 1940)",2.8231,2.6841683730492223,-0.13893162695077788,0.13893162695077788,4.921243560298178
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Ribaud (1937),2.8231,2.486815822619465,-0.3362841773805352,0.3362841773805352,11.911876213401408
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Mendel (1997),2.8231,2.674044050184665,-0.149055949815335,0.149055949815335,5.279867869198221
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Sidorov (1979),2.8231,2.1685749510800565,-0.6545250489199437,0.6545250489199437,23.184621477097643
113566,dry,TC air,0.09294072678275303,2.98,0.025,Lichtenecker (geometric mean),2.244775,1.9109337900396794,-0.33384120996032074,0.33384120996032074,14.871923019470579
113566,dry,TC air,0.09294072678275303,2.98,0.025,Roy-Adler,2.244775,2.4980507387006607,0.25327573870066056,0.25327573870066056,11.282900901010592
113566,dry,TC air,0.09294072678275303,2.98,0.025,Krupiczka,2.244775,2.266145056863177,0.021370056863176945,0.021370056863176945,0.9519910397780154
113566,dry,TC air,0.09294072678275303,2.98,0.025,Zimmerman (1989; spherical pores),2.244775,2.5877601431249704,0.3429851431249702,0.3429851431249702,15.279265989908572
113566,dry,TC air,0.09294072678275303,2.98,0.025,Zimmerman (1989; thin cracks),2.244775,0.599954521865628,-1.6448204781343723,1.6448204781343723,73.27328922205442
113566,dry,TC air,0.09294072678275303,2.98,0.025,Zimmerman (1989; needle-like pores),2.244775,2.5514261965704987,0.30665119657049855,0.30665119657049855,13.66066517002811
113566,dry,TC air,0.09294072678275303,2.98,0.025,"Modified Maxwell (Eucken, 1940)",2.244775,2.5877601431249704,0.3429851431249702,0.3429851431249702,15.279265989908572
113566,dry,TC air,0.09294072678275303,2.98,0.025,Ribaud (1937),2.244775,2.37368981823724,0.12891481823723971,0.12891481823723971,5.742883729426767
113566,dry,TC air,0.09294072678275303,2.98,0.025,Mendel (1997),2.244775,2.569761029585842,0.3249860295858418,0.3249860295858418,14.477443377881603
113566,dry,TC air,0.09294072678275303,2.98,0.025,Sidorov (1979),2.244775,0.24863181778397114,-1.996143182216029,1.996143182216029,88.92397599830846
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Lichtenecker (geometric mean),2.456699651526272,2.2273656154434045,-0.2293340360828675,0.2293340360828675,9.335045736681295
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Roy-Adler,2.456699651526272,2.557879913475588,0.10118026194931584,0.10118026194931584,4.1185442382611015
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Krupiczka,2.456699651526272,2.8301920485472865,0.37349239702101444,0.37349239702101444,15.203014206029422
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Zimmerman (1989; spherical pores),2.456699651526272,2.6073672550095655,0.15066760348329344,0.15066760348329344,6.132927294945814
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Zimmerman (1989; thin cracks),2.456699651526272,1.6695106475319528,-0.7871890039943192,0.7871890039943192,32.04254144397598
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Zimmerman (1989; needle-like pores),2.456699651526272,2.5762212430179496,0.11952159149167763,0.11952159149167763,4.865128361027875
113566,oil,TC oil,0.09294072678275303,2.98,0.13,"Modified Maxwell (Eucken, 1940)",2.456699651526272,2.607367255009566,0.1506676034832939,0.1506676034832939,6.132927294945833
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Lichtenecker (geometric mean),2.7460125,2.5675769948914673,-0.17843550510853268,0.17843550510853268,6.497985901685905
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Roy-Adler,2.7460125,2.6824499549805148,-0.06356254501948522,0.06356254501948522,2.314721619784514
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Krupiczka,2.7460125,3.0839455257553556,0.33793302575535566,0.33793302575535566,12.306317824676896
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Zimmerman (1989; spherical pores),2.7460125,2.6883821825033896,-0.057630317496610406,0.057630317496610406,2.098691010933505
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Zimmerman (1989; thin cracks),2.7460125,2.5225430358588565,-0.22346946414114344,0.22346946414114344,8.137962377853103
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Zimmerman (1989; needle-like pores),2.7460125,2.6733946140981444,-0.07261788590185558,0.07261788590185558,2.6444848995354384
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,"Modified Maxwell (Eucken, 1940)",2.7460125,2.688382182503389,-0.05763031749661085,0.05763031749661085,2.098691010933521
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Ribaud (1937),2.7460125,2.491668956820518,-0.2543435431794818,0.2543435431794818,9.262286430942387
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Mendel (1997),2.7460125,2.6785490195271353,-0.06746348047286466,0.06746348047286466,2.456779802454091
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Sidorov (1979),2.7460125,2.1773043476319085,-0.5687081523680915,0.5687081523680915,20.710326423062224
113572,dry,TC air,0.0882413294197936,2.98,0.025,Lichtenecker (geometric mean),2.26715,1.9543524476684178,-0.31279755233158224,0.31279755233158224,13.796950017933629
113572,dry,TC air,0.0882413294197936,2.98,0.025,Roy-Adler,2.26715,2.521399977932908,0.25424997793290816,0.25424997793290816,11.214519459802313
113572,dry,TC air,0.0882413294197936,2.98,0.025,Krupiczka,2.26715,2.4586989435212123,0.19154894352121232,0.19154894352121232,8.448887083837079
113572,dry,TC air,0.0882413294197936,2.98,0.025,Zimmerman (1989; spherical pores),2.26715,2.606765112184764,0.3396151121847639,0.3396151121847639,14.97982542772926
113572,dry,TC air,0.0882413294197936,2.98,0.025,Zimmerman (1989; thin cracks),2.26715,0.6268365824584198,-1.6403134175415803,1.6403134175415803,72.35134056156762
113572,dry,TC air,0.0882413294197936,2.98,0.025,Zimmerman (1989; needle-like pores),2.26715,2.571911299896047,0.30476129989604717,0.30476129989604717,13.442485053747975
113572,dry,TC air,0.0882413294197936,2.98,0.025,"Modified Maxwell (Eucken, 1940)",2.26715,2.6067651121847635,0.3396151121847635,0.3396151121847635,14.97982542772924
113572,dry,TC air,0.0882413294197936,2.98,0.025,Ribaud (1937),2.26715,2.3943041049927407,0.1271541049927407,0.1271541049927407,5.608543986623766
113572,dry,TC air,0.0882413294197936,2.98,0.025,Mendel (1997),2.26715,2.5905040988783155,0.32335409887831545,0.32335409887831545,14.262580723741944
113572,dry,TC air,0.0882413294197936,2.98,0.025,Sidorov (1979),2.26715,0.2607145559801585,-2.0064354440198415,2.0064354440198415,88.50033936968624
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Lichtenecker (geometric mean),2.52625,2.260393105479776,-0.265856894520224,0.265856894520224,10.523776131428955
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Roy-Adler,2.52625,2.578450281185879,0.05220028118587905,0.05220028118587905,2.0663149405592893
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Krupiczka,2.52625,2.985518646868178,0.4592686468681779,0.4592686468681779,18.17985737231778
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Zimmerman (1989; spherical pores),2.52625,2.6254616160830118,0.09921161608301166,0.09921161608301166,3.927228741534355
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Zimmerman (1989; thin cracks),2.52625,1.7097958744816222,-0.8164541255183779,0.8164541255183779,32.31881743763989
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Zimmerman (1989; needle-like pores),2.52625,2.5955933230489663,0.06934332304896618,0.06934332304896618,2.7449113527547224
113572,oil,TC oil,0.0882413294197936,2.98,0.13,"Modified Maxwell (Eucken, 1940)",2.52625,2.625461616083012,0.0992116160830121,0.0992116160830121,3.927228741534373
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Lichtenecker (geometric mean),2.843925,2.586988879826437,-0.25693612017356315,0.25693612017356315,9.034560340851575
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Roy-Adler,2.843925,2.6971195238427605,-0.1468054761572395,0.1468054761572395,5.16207270435189
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Krupiczka,2.843925,3.1694240736086754,0.32549907360867536,0.32549907360867536,11.445416936405685
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Zimmerman (1989; spherical pores),2.843925,2.702669951143765,-0.1412550488562352,0.1412550488562352,4.966904853546953
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Zimmerman (1989; thin cracks),2.843925,2.5432568317349946,-0.3006681682650054,0.3006681682650054,10.5722959735227
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Zimmerman (1989; needle-like pores),2.843925,2.6883141341636665,-0.15561086583633355,0.15561086583633355,5.471693727377956
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,"Modified Maxwell (Eucken, 1940)",2.843925,2.7026699511437653,-0.14125504885623474,0.14125504885623474,4.966904853546938
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Ribaud (1937),2.843925,2.508272003344407,-0.3356529966555932,0.3356529966555932,11.802455994992597
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Mendel (1997),2.843925,2.693791400254446,-0.15013359974555396,0.15013359974555396,5.279098420160657
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Sidorov (1979),2.843925,2.2073682633581297,-0.6365567366418703,0.6365567366418703,22.383035299519864
113577,dry,TC air,0.07476560681237662,2.98,0.025,Lichtenecker (geometric mean),2.29725,2.084405497537427,-0.21284450246257292,0.21284450246257292,9.265186743392007
113577,dry,TC air,0.07476560681237662,2.98,0.025,Roy-Adler,2.29725,2.588957209837855,0.2917072098378548,0.2917072098378548,12.698104683332453
113577,dry,TC air,0.07476560681237662,2.98,0.025,Krupiczka,2.29725,3.1902436011885182,0.8929936011885182,0.8929936011885182,38.87228648116305
113577,dry,TC air,0.07476560681237662,2.98,0.025,Zimmerman (1989; spherical pores),2.29725,2.6617343061567564,0.3644843061567564,0.3644843061567564,15.866114099760864
113577,dry,TC air,0.07476560681237662,2.98,0.025,Zimmerman (1989; thin cracks),2.29725,0.7179119436496769,-1.579338056350323,1.579338056350323,68.7490719926139
113577,dry,TC air,0.07476560681237662,2.98,0.025,Zimmerman (1989; needle-like pores),2.29725,2.6313204231730962,0.3340704231730962,0.3340704231730962,14.542188406707856
113577,dry,TC air,0.07476560681237662,2.98,0.025,"Modified Maxwell (Eucken, 1940)",2.29725,2.6617343061567564,0.3644843061567564,0.3644843061567564,15.866114099760864
113577,dry,TC air,0.07476560681237662,2.98,0.025,Ribaud (1937),2.29725,2.4555645265630486,0.15831452656304856,0.15831452656304856,6.891480098511201
113577,dry,TC air,0.07476560681237662,2.98,0.025,Mendel (1997),2.29725,2.649985735825009,0.35273573582500894,0.35273573582500894,15.354695214931285
113577,dry,TC air,0.07476560681237662,2.98,0.025,Sidorov (1979),2.29725,0.30292881155214874,-1.9943211884478513,1.9943211884478513,86.8134155380499
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Lichtenecker (geometric mean),2.5712816742530693,2.357841646683484,-0.21344002756958513,0.21344002756958513,8.300919720574264
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Roy-Adler,2.5712816742530693,2.637893511940119,0.06661183768704948,0.06661183768704948,2.59060834734878
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Krupiczka,2.5712816742530693,3.5410282890852476,0.9697466148321783,0.9697466148321783,37.71452286003942
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Zimmerman (1989; spherical pores),2.5712816742530693,2.677774374156361,0.10649269990329158,0.10649269990329158,4.14161937097874
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Zimmerman (1989; thin cracks),2.5712816742530693,1.8352375350779695,-0.7360441391750998,0.7360441391750998,28.625574029687474
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Zimmerman (1989; needle-like pores),2.5712816742530693,2.6517334636721857,0.08045178941911635,0.08045178941911635,3.128859440982356
