state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.20193277,0.00008403,0.20201681,-0.40755716
dry,0.20378151,0.00008403,0.20386555,-0.40672843
dry,0.20563025,0.00008403,0.20571429,-0.40590294
dry,0.20747899,0.00008403,0.20756303,-0.40508067
dry,0.20932773,0.00008403,0.20941176,-0.40426161
dry,0.21117647,0.00008403,0.21126050,-0.40344573
dry,0.21302521,0.00008403,0.21310924,-0.40263301
dry,0.21487395,0.00008403,0.21495798,-0.40182344
dry,0.21672269,0.00008403,0.21680672,-0.40101699
dry,0.21857143,0.00008403,0.21865546,-0.40021365
dry,0.22042017,0.00008403,0.22050420,-0.39941339
dry,0.22226891,0.00008403,0.22235294,-0.39861621
dry,0.22411765,0.00008403,0.22420168,-0.39782207
dry,0.22596639,0.00008403,0.22605042,-0.39703097
dry,0.22781513,0.00008403,0.22789916,-0.39624287
dry,0.22966387,0.00008403,0.22974790,-0.39545778
dry,0.23151261,0.00008403,0.23159664,-0.39467566
dry,0.23336134,0.00008403,0.23344538,-0.39389651
dry,0.23521008,0.00008403,0.23529412,-0.39312029
dry,0.23705882,0.00008403,0.23714286,-0.39234700
dry,0.23890756,0.00008403,0.23899160,-0.39157662
dry,0.24075630,0.00008403,0.24084034,-0.39080912
dry,0.24260504,0.00008403,0.24268908,-0.39004450
dry,0.24445378,0.00008403,0.24453782,-0.38928274
dry,0.24630252,0.00008403,0.24638655,-0.38852382
dry,0.24815126,0.00008403,0.24823529,-0.38776771
dry,0.25000000,0.00008403,0.25008403,-0.38701442
dry,0.03000000,0.00016807,0.03016807,-0.99918874
dry,0.03184874,0.00016807,0.03201681,-0.99672470
dry,0.03369748,0.00016807,0.03386555,-0.99427257
dry,0.03554622,0.00016807,0.03571429,-0.99183228
dry,0.03739496,0.00016807,0.03756303,-0.98940373
dry,0.03924370,0.00016807,0.03941176,-0.98698684
dry,0.04109244,0.00016807,0.04126050,-0.98458153
dry,0.04294118,0.00016807,0.04310924,-0.98218771
dry,0.04478992,0.00016807,0.04495798,-0.97980529
dry,0.04663866,0.00016807,0.04680672,-0.97743420
dry,0.04848739,0.00016807,0.04865546,-0.97507435
dry,0.05033613,0.00016807,0.05050420,-0.97272566
dry,0.05218487,0.00016807,0.05235294,-0.97038806
dry,0.05403361,0.00016807,0.05420168,-0.96806145
dry,0.05588235,0.00016807,0.05605042,-0.96574577
dry,0.05773109,0.00016807,0.05789916,-0.96344094
dry,0.05957983,0.00016807,0.05974790,-0.96114688
dry,0.06142857,0.00016807,0.06159664,-0.95886350
dry,0.06327731,0.00016807,0.06344538,-0.95659075
dry,0.06512605,0.00016807,0.06529412,-0.95432853
