sample,porosity,model,state,alpha_fit,measured,predicted,error,ape_pct,signed_pct
113728.0,0.2358372317110681,BRUGGEMAN,dry,,1.4346,1.9413392553154916,0.5067392553154915,35.322686136588,35.322686136588
113728.0,0.2358372317110681,BRUGGEMAN,oil,,1.7373784115253965,2.0034777182588472,0.2660993067334507,15.316139821250504,15.316139821250504
113728.0,0.2358372317110681,BRUGGEMAN,brine_avg,,2.244778125,2.237596859795449,-0.0071812652045508685,0.3199097997514061,-0.3199097997514061
113754.0,0.1192694322660098,GSA,dry,0.06558424354601573,1.8863500000000002,1.9505943094796812,0.06424430947968096,3.4057470501063407,3.4057470501063407
113754.0,0.1192694322660098,GSA,oil,0.06558424354601573,2.2409375000000002,2.1227839498171037,-0.11815355018289653,5.272505377008351,-5.272505377008351
113754.0,0.1192694322660098,GSA,brine_avg,0.06558424354601573,2.565471875,2.493908339672332,-0.07156353532766824,2.789488203906669,-2.789488203906669
113754.0,0.1192694322660098,SCA,dry,0.08590321249115156,1.8863500000000002,1.9521503060311394,0.06580030603113918,3.4882342105727555,3.4882342105727555
113754.0,0.1192694322660098,SCA,oil,0.08590321249115156,2.2409375000000002,2.121765749565748,-0.11917175043425221,5.317941729042073,-5.317941729042073
113754.0,0.1192694322660098,SCA,brine_avg,0.08590321249115156,2.565471875,2.4921790614067305,-0.07329281359326956,2.856894059431837,-2.856894059431837
113754.0,0.1192694322660098,BRUGGEMAN,dry,,1.8863500000000002,2.454017432754297,0.567667432754297,30.09343084551101,30.09343084551101
113754.0,0.1192694322660098,BRUGGEMAN,oil,,2.2409375000000002,2.4831295774375666,0.24219207743756632,10.807623034447248,10.807623034447248
113754.0,0.1192694322660098,BRUGGEMAN,brine_avg,,2.565471875,2.598281676660775,0.03280980166077496,1.2788992925823817,1.2788992925823817
129473.0,0.117869102602222,GSA,dry,0.16578022927937944,2.235925,2.2960565891582596,0.06013158915825967,2.689338379340079,2.689338379340079
129473.0,0.117869102602222,GSA,oil,0.16578022927937944,2.4113402649754168,2.359492098600819,-0.05184816637459777,2.1501804257030623,-2.1501804257030623
129473.0,0.117869102602222,GSA,brine_avg,0.16578022927937944,2.690510416666667,2.5557101790636447,-0.1348002376030224,5.0102105819025,-5.0102105819025
129473.0,0.117869102602222,SCA,dry,0.18763457463511407,2.235925,2.296702480317847,0.06077748031784713,2.7182253571943216,2.7182253571943216
129473.0,0.117869102602222,SCA,oil,0.18763457463511407,2.4113402649754168,2.359601047938866,-0.05173921703655093,2.1456622189767316,-2.1456622189767316
129473.0,0.117869102602222,SCA,brine_avg,0.18763457463511407,2.690510416666667,2.555289321258104,-0.1352210954085633,5.025852885419849,-5.025852885419849
129473.0,0.117869102602222,BRUGGEMAN,dry,,2.235925,2.4601863322761655,0.22426133227616551,10.029913001382674,10.029913001382674
129473.0,0.117869102602222,BRUGGEMAN,oil,,2.4113402649754168,2.488934066582003,0.07759380160658624,3.2178702746199654,3.2178702746199654
129473.0,0.117869102602222,BRUGGEMAN,brine_avg,,2.690510416666667,2.6026971350679045,-0.08781328159876267,3.2638149644317855,-3.2638149644317855
129498.0,0.136895751762234,GSA,dry,0.09694365238765493,1.9574,2.0163444062214224,0.058944406221422385,3.011362328671829,3.011362328671829
129498.0,0.136895751762234,GSA,oil,0.09694365238765493,2.2367375000000003,2.139264920367317,-0.09747257963268341,4.357801469000426,-4.357801469000426
129498.0,0.136895751762234,GSA,brine_avg,0.09694365238765493,2.4726510416666665,2.455591773724753,-0.017059267941913703,0.6899181346032179,-0.6899181346032179
129498.0,0.136895751762234,SCA,dry,0.12126864538647633,1.9574,2.017472181258239,0.060072181258238766,3.068978300717215,3.068978300717215
129498.0,0.136895751762234,SCA,oil,0.12126864538647633,2.2367375000000003,2.1386910040382925,-0.09804649596170778,4.3834601048047785,-4.3834601048047785
129498.0,0.136895751762234,SCA,brine_avg,0.12126864538647633,2.4726510416666665,2.4541565634891187,-0.01849447817754779,0.7479615144190248,-0.7479615144190248
129498.0,0.136895751762234,BRUGGEMAN,dry,,1.9574,2.376384652094541,0.41898465209454083,21.405162567412937,21.405162567412937
129498.0,0.136895751762234,BRUGGEMAN,oil,,2.2367375000000003,2.410139454659309,0.17340195465930863,7.752449925809739,7.752449925809739
129498.0,0.136895751762234,BRUGGEMAN,brine_avg,,2.4726510416666665,2.542855435916811,0.07020439425014446,2.8392358269375477,2.8392358269375477
129524.0,0.1474964002666242,GSA,dry,0.11889168662416742,1.9375625,2.0397790108040765,0.10221651080407645,5.275520702123232,5.275520702123232
129524.0,0.1474964002666242,GSA,oil,0.11889168662416742,2.2731444762936803,2.1433941740251177,-0.12975030226856266,5.707965491050445,-5.707965491050445
129524.0,0.1474964002666242,GSA,brine_avg,0.11889168662416742,2.609909375,2.433997530466867,-0.1759118445331329,6.740151448098956,-6.740151448098956
129524.0,0.1474964002666242,SCA,dry,0.14594834534130247,1.9375625,2.0413312279197813,0.1037687279197812,5.355632549648396,5.355632549648396
129524.0,0.1474964002666242,SCA,oil,0.14594834534130247,2.2731444762936803,2.143453210073537,-0.1296912662201435,5.705368381670253,-5.705368381670253
129524.0,0.1474964002666242,SCA,brine_avg,0.14594834534130247,2.609909375,2.4328864875513654,-0.1770228874486346,6.782721620310459,-6.782721620310459
129524.0,0.1474964002666242,BRUGGEMAN,dry,,1.9375625,2.3297113113432513,0.3921488113432512,20.239285769788133,20.239285769788133
129524.0,0.1474964002666242,BRUGGEMAN,oil,,2.2731444762936803,2.366310285658055,0.09316580936437457,4.098543244214714,4.098543244214714
129524.0,0.1474964002666242,BRUGGEMAN,brine_avg,,2.609909375,2.509661228822335,-0.10024814617766475,3.8410585109938826,-3.8410585109938826
129552.0,0.1447440980724326,GSA,dry,0.09718731902762963,1.869,1.9747852051711718,0.10578520517117185,5.659989575771634,5.659989575771634
129552.0,0.1447440980724326,GSA,oil,0.09718731902762963,2.2544596734705014,2.101017805659864,-0.1534418678106375,6.8061482587723585,-6.8061482587723585
