sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,model,alpha_fit,alpha_source,alpha_fit_mode,uses_alpha,observed_tc,predicted_tc,error,abs_error,abs_pct_error,is_calibration_state
113572,dry,TC air,0.0882413294197936,2.98,0.025,GSA,0.08631474500851172,per_sample,per_sample,True,2.26715,2.2671489394589335,-1.0605410665220916e-06,1.0605410665220916e-06,4.6778601615336066e-05,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,GSA,0.08631474500851172,per_sample,per_sample,True,2.52625,2.3746360548671563,-0.15161394513284376,0.15161394513284376,6.001541618321376,False
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,GSA,0.08631474500851172,per_sample,per_sample,True,2.843925,2.6241819771968915,-0.21974302280310853,0.21974302280310853,7.72675168308266,False
113572,dry,TC air,0.0882413294197936,2.98,0.025,Bruggeman,,,per_sample,False,2.26715,2.59074839211692,0.3235983921169199,0.3235983921169199,14.273356068937648,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,Bruggeman,,,per_sample,False,2.52625,2.611928091879706,0.08567809187970576,0.08567809187970576,3.391512790883949,False
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,Bruggeman,,,per_sample,False,2.843925,2.6965172227435437,-0.14740777725645637,0.14740777725645637,5.183251219932184,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,MT,0.07158969389104348,per_sample,per_sample,True,2.29725,2.297250898420821,8.984208208495659e-07,8.984208208495659e-07,3.91085350244669e-05,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,MT,0.07158969389104348,per_sample,per_sample,True,2.5712816742530693,2.4170017197274785,-0.15427995452559085,0.15427995452559085,6.000118776189994,False
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,MT,0.07158969389104348,per_sample,per_sample,True,2.9365625,2.667482792156435,-0.26907970784356516,0.26907970784356516,9.1630846557349,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,SCA,0.08391230507626074,per_sample,per_sample,True,2.29725,2.2972504419151525,4.419151524714948e-07,4.419151524714948e-07,1.9236702686755676e-05,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,SCA,0.08391230507626074,per_sample,per_sample,True,2.5712816742530693,2.416163093155913,-0.15511858109715648,0.15511858109715648,6.032733894944311,False
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,SCA,0.08391230507626074,per_sample,per_sample,True,2.9365625,2.6667036849810017,-0.2698588150189982,0.2698588150189982,9.189615920621415,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,DEM,0.08173751306783354,per_sample,per_sample,True,2.29725,2.297250421175049,4.2117504905903047e-07,4.2117504905903047e-07,1.833387959773775e-05,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,DEM,0.08173751306783354,per_sample,per_sample,True,2.5712816742530693,2.4224411644469,-0.14884050980616914,0.14884050980616914,5.788572729955996,False
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,DEM,0.08173751306783354,per_sample,per_sample,True,2.9365625,2.6702872022980126,-0.2662752977019873,0.2662752977019873,9.067584895672656,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,GSA,0.07158969389104344,per_sample,per_sample,True,2.29725,2.297250898420821,8.984208208495659e-07,8.984208208495659e-07,3.91085350244669e-05,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,GSA,0.07158969389104344,per_sample,per_sample,True,2.5712816742530693,2.417001719727478,-0.1542799545255913,0.1542799545255913,6.0001187761900105,False
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,GSA,0.07158969389104344,per_sample,per_sample,True,2.9365625,2.667482792156435,-0.26907970784356516,0.26907970784356516,9.1630846557349,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,Bruggeman,,,per_sample,False,2.29725,2.6501572176846175,0.3529072176846175,0.3529072176846175,15.362159873092503,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,Bruggeman,,,per_sample,False,2.5712816742530693,2.66797880698259,0.09669713272952052,0.09669713272952052,3.7606588845467517,False
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,Bruggeman,,,per_sample,False,2.9365625,2.7394318275688883,-0.1971306724311117,0.1971306724311117,6.712973840369879,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,MT,0.07041253950609525,per_sample,per_sample,True,2.3427999999999995,2.3428012251469523,1.2251469527768677e-06,1.2251469527768677e-06,5.2294133207139666e-05,True
