sample_id,model,phi,calibration_state,calibration_measurement_col,calibration_observed_tc,calibration_predicted_tc,calibration_abs_pct_error,matrix_tc,calibration_fluid_tc,alpha_fit,alpha_source,alpha_fit_mode,fit_objective,fit_success,fit_at_lower,fit_at_upper,uses_alpha,objective_mode
113541,DEM,0.1419265364023713,dry,TC air,1.867175,1.8671763793446121,7.38733440670888e-05,2.98,0.025,0.09347663387939512,per_sample,per_sample,5.457270963654483e-13,True,False,False,True,rel_sse
113541,GSA,0.1419265364023713,dry,TC air,1.867175,1.8671749395643586,3.2367422111077987e-06,2.98,0.025,0.0735198694510443,per_sample,per_sample,1.0476500141167e-15,True,False,False,True,rel_sse
113541,Bruggeman,0.1419265364023713,dry,TC air,1.867175,2.35423318914262,26.085299403784862,2.98,0.025,,,per_sample,0.06804428449850988,True,False,False,False,rel_sse
113556,MT,0.09432965948473461,dry,TC air,2.1235625000000002,2.1235617866966168,3.358994065258411e-05,2.98,0.025,0.06629932890531404,per_sample,per_sample,1.1282841130441228e-13,True,False,False,True,rel_sse
113556,SCA,0.09432965948473461,dry,TC air,2.1235625000000002,2.12356294915793,2.1151151895004937e-05,2.98,0.025,0.08194994598822634,per_sample,per_sample,4.47371226485571e-14,True,False,False,True,rel_sse
113556,DEM,0.09432965948473461,dry,TC air,2.1235625000000002,2.123562467365828,1.536765329648154e-06,2.98,0.025,0.07880523792722025,per_sample,per_sample,2.3616476784085995e-16,True,False,False,True,rel_sse
113556,GSA,0.09432965948473461,dry,TC air,2.1235625000000002,2.123561786696617,3.3589940631671654e-05,2.98,0.025,0.06629932890531408,per_sample,per_sample,1.1282841116392262e-13,True,False,False,True,rel_sse
113556,Bruggeman,0.09432965948473461,dry,TC air,2.1235625000000002,2.563912362046402,20.736373996357614,2.98,0.025,,,per_sample,0.04299972065168162,True,False,False,False,rel_sse
113566,MT,0.09294072678275303,dry,TC air,2.244775,2.2447759934946494,4.425809487432661e-05,2.98,0.025,0.08850032022699107,per_sample,per_sample,1.9587789619048953e-13,True,False,False,True,rel_sse
113566,SCA,0.09294072678275303,dry,TC air,2.244775,2.244776105805281,4.926129704209639e-05,2.98,0.025,0.104258165778541,per_sample,per_sample,2.426675386269655e-13,True,False,False,True,rel_sse
113566,DEM,0.09294072678275303,dry,TC air,2.244775,2.2447757256687697,3.2327015826484224e-05,2.98,0.025,0.10238012913453907,per_sample,per_sample,1.0450359522457613e-13,True,False,False,True,rel_sse
113566,GSA,0.09294072678275303,dry,TC air,2.244775,2.24477599349465,4.425809489410985e-05,2.98,0.025,0.08850032022699111,per_sample,per_sample,1.9587789636560327e-13,True,False,False,True,rel_sse
113566,Bruggeman,0.09294072678275303,dry,TC air,2.244775,2.5700341990877544,14.489612504048477,2.98,0.025,,,per_sample,0.020994887051747797,True,False,False,False,rel_sse
113572,MT,0.0882413294197936,dry,TC air,2.26715,2.2671489394589335,4.6778601615336066e-05,2.98,0.025,0.08631474500851172,per_sample,per_sample,2.1882375690863218e-13,True,False,False,True,rel_sse
113572,SCA,0.0882413294197936,dry,TC air,2.26715,2.2671498925310747,4.740265324942577e-06,2.98,0.025,0.10120128913354594,per_sample,per_sample,2.2470115350852955e-15,True,False,False,True,rel_sse
113572,DEM,0.0882413294197936,dry,TC air,2.26715,2.2671488304103455,5.158854308093675e-05,2.98,0.025,0.09932093866208483,per_sample,per_sample,2.661377777213667e-13,True,False,False,True,rel_sse
113572,GSA,0.0882413294197936,dry,TC air,2.26715,2.2671489394589335,4.6778601615336066e-05,2.98,0.025,0.08631474500851172,per_sample,per_sample,2.1882375690863218e-13,True,False,False,True,rel_sse
113572,Bruggeman,0.0882413294197936,dry,TC air,2.26715,2.59074839211692,14.273356068937648,2.98,0.025,,,per_sample,0.020372869347067918,True,False,False,False,rel_sse
113577,MT,0.07476560681237662,dry,TC air,2.29725,2.297250898420821,3.91085350244669e-05,2.98,0.025,0.07158969389104348,per_sample,per_sample,1.5294775117599545e-13,True,False,False,True,rel_sse
113577,SCA,0.07476560681237662,dry,TC air,2.29725,2.2972504419151525,1.9236702686755676e-05,2.98,0.025,0.08391230507626074,per_sample,per_sample,3.700507302586331e-14,True,False,False,True,rel_sse
113577,DEM,0.07476560681237662,dry,TC air,2.29725,2.297250421175049,1.833387959773775e-05,2.98,0.025,0.08173751306783354,per_sample,per_sample,3.361311411043445e-14,True,False,False,True,rel_sse
113577,GSA,0.07476560681237662,dry,TC air,2.29725,2.297250898420821,3.91085350244669e-05,2.98,0.025,0.07158969389104344,per_sample,per_sample,1.5294775117599545e-13,True,False,False,True,rel_sse
113577,Bruggeman,0.07476560681237662,dry,TC air,2.29725,2.6501572176846175,15.362159873092503,2.98,0.025,,,per_sample,0.02359959559664535,True,False,False,False,rel_sse
113603,MT,0.06812695477572067,dry,TC air,2.3427999999999995,2.3428012251469523,5.2294133207139666e-05,2.98,0.025,0.07041253950609525,per_sample,per_sample,2.7346763678860674e-13,True,False,False,True,rel_sse
113603,SCA,0.06812695477572067,dry,TC air,2.3427999999999995,2.342800585835118,2.5005767399620136e-05,2.98,0.025,0.0815806151419842,per_sample,per_sample,6.252884032439052e-14,True,False,False,True,rel_sse
113603,DEM,0.06812695477572067,dry,TC air,2.3427999999999995,2.3428002531800147,1.0806727641072539e-05,2.98,0.025,0.07958107452882497,per_sample,per_sample,1.1678536230832126e-14,True,False,False,True,rel_sse
113603,GSA,0.06812695477572067,dry,TC air,2.3427999999999995,2.342801225146953,5.229413324505063e-05,2.98,0.025,0.0704125395060954,per_sample,per_sample,2.73467637185111e-13,True,False,False,True,rel_sse
113603,Bruggeman,0.06812695477572067,dry,TC air,2.3427999999999995,2.679429486166996,14.368682182303072,2.98,0.025,,,per_sample,0.020645902765603377,True,False,False,False,rel_sse
113619,MT,0.08326069547301873,dry,TC air,2.252275,2.2522751855360834,8.237718901367924e-06,2.98,0.025,0.07519234831981385,per_sample,per_sample,6.7860012697954365e-15,True,False,False,True,rel_sse
113619,SCA,0.08326069547301873,dry,TC air,2.252275,2.2522749694702924,1.3555053290929476e-06,2.98,0.025,0.08904041555673727,per_sample,per_sample,1.8373946971993804e-16,True,False,False,True,rel_sse
113619,DEM,0.08326069547301873,dry,TC air,2.252275,2.252275230366698,1.0228178093784641e-05,2.98,0.025,0.08674857793758643,per_sample,per_sample,1.04615627118176e-14,True,False,False,True,rel_sse
