state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
dry,0.08249999999999999,0.0025,0.07999999999999999,4.383586245222058,3.8079713673395768,-0.5756148778824812,-13.131140707220704,0.5,0.5,0.0001
dry,0.08539999999999999,0.0025,0.08289999999999999,4.362928899507938,3.7908297526834316,-0.572099146824506,-13.112731378433162,0.5,0.5,0.0001
dry,0.08829999999999999,0.0025,0.08579999999999999,4.342336880531988,3.773735207248345,-0.5686016732836432,-13.09437035695818,0.5,0.5,0.0001
dry,0.09119999999999999,0.0025,0.08869999999999999,4.3218098788997565,3.7566875374288142,-0.5651223414709423,-13.076057422840886,0.5,0.5,0.0001
dry,0.09409999999999999,0.0025,0.09159999999999999,4.301347587167472,3.739686550679669,-0.561661036487803,-13.057792357061489,0.5,0.5,0.0001
dry,0.09699999999999999,0.0025,0.09449999999999999,4.280949699826708,3.722732055508822,-0.5582176443178861,-13.039574941524835,0.5,0.5,0.0001
dry,0.09989999999999999,0.0025,0.09739999999999999,4.26061591328917,3.7058238614700816,-0.5547920518190885,-13.021404959049509,0.5,0.5,0.0001
dry,0.10279999999999999,0.0025,0.10029999999999999,4.240345925871634,3.688961779156015,-0.5513841467156189,-13.003282193357323,0.5,0.5,0.0001
dry,0.10569999999999999,0.0025,0.10319999999999999,4.220139437781031,3.6721456201908844,-0.5479938175901462,-12.985206429062542,0.5,0.5,0.0001
dry,0.10859999999999999,0.0025,0.10609999999999999,4.1999961510996595,3.655375197223624,-0.5446209538760356,-12.967177451661255,0.5,0.5,0.0001
dry,0.11149999999999999,0.0025,0.10899999999999999,4.179915769770555,3.638650323920887,-0.541265445849668,-12.949195047520758,0.5,0.5,0.0001
dry,0.11439999999999999,0.0025,0.11189999999999999,4.159897999582975,3.621970814960143,-0.5379271846228315,-12.9312590038688,0.5,0.5,0.0001
dry,0.11729999999999999,0.0025,0.11479999999999999,4.139942548158038,3.6053364860228347,-0.5346060621352029,-12.913369108782979,0.5,0.5,0.0001
dry,0.12019999999999999,0.0025,0.11769999999999999,4.1200491249344795,3.5887471537875846,-0.5313019711468949,-12.895525151179942,0.5,0.5,0.0001
dry,0.12309999999999999,0.0025,0.12059999999999998,4.10021744115456,3.5722026359234627,-0.5280148052310971,-12.877726920804864,0.5,0.5,0.0001
dry,0.126,0.0025,0.1235,4.080447209850085,3.555702751083309,-0.5247444587667762,-12.859974208220555,0.5,0.5,0.0001
dry,0.1289,0.0025,0.12639999999999998,4.060738145828569,3.539247318897103,-0.5214908269314664,-12.842266804796873,0.5,0.5,0.0001
dry,0.1318,0.0025,0.1293,4.041089965659518,3.522836159965395,-0.518253805694123,-12.824604502699867,0.5,0.5,0.0001
dry,0.1347,0.0025,0.13219999999999998,4.021502387660843,3.5064690958527827,-0.5150332918080602,-12.80698709488112,0.5,0.5,0.0001
dry,0.1376,0.0025,0.1351,4.001975131885403,3.4901459490814495,-0.5118291828039534,-12.78941437506688,0.5,0.5,0.0001
dry,0.1405,0.0025,0.138,3.9825079201076656,3.473866543124745,-0.5086413769829208,-12.771886137747337,0.5,0.5,0.0001
dry,0.1434,0.0025,0.1409,3.9631004758104926,3.4576307024008215,-0.5054697734096711,-12.754402178165762,0.5,0.5,0.0001
dry,0.14629999999999999,0.0025,0.14379999999999998,3.943752524172046,3.4414382522663245,-0.5023142719057216,-12.736962292307574,0.5,0.5,0.0001
dry,0.1492,0.0025,0.1467,3.924463792052819,3.4252890190101284,-0.49917477304269076,-12.71956627688954,0.5,0.5,0.0001
dry,0.1521,0.0025,0.1496,3.9052340079827816,3.409182829847127,-0.4960511781356547,-12.702213929348785,0.5,0.5,0.0001
dry,0.155,0.0025,0.1525,3.886062902148644,3.393119512912066,-0.492943389236578,-12.684905047831945,0.5,0.5,0.0001
dry,0.15789999999999998,0.0025,0.15539999999999998,3.866950206381237,3.377098897253438,-0.4898513091277992,-12.66763943118396,0.5,0.5,0.0001
dry,0.1608,0.0025,0.1583,3.84789565414301,3.3611208128274086,-0.4867748413156012,-12.650416878937275,0.5,0.5,0.0001
dry,0.1637,0.0025,0.1612,3.8288989805156377,3.345185090491808,-0.4837138900238296,-12.63323719130056,0.5,0.5,0.0001
dry,0.1666,0.0025,0.1641,3.8099599221877463,3.3292915620001593,-0.48066836018758696,-12.616100169147677,0.5,0.5,0.0001
dry,0.16949999999999998,0.0025,0.16699999999999998,3.7910782174427458,3.3134400599957563,-0.47763815744698945,-12.59900561400651,0.5,0.5,0.0001
dry,0.1724,0.0025,0.1699,3.7722536061467706,3.2976304180057916,-0.47462318814097904,-12.581953328047597,0.5,0.5,0.0001
dry,0.1753,0.0025,0.1728,3.753485829736742,3.2818624704355264,-0.4716233593012156,-12.56494311407308,0.5,0.5,0.0001
dry,0.1782,0.0025,0.1757,3.734774631208521,3.2661360525625134,-0.46863857864600744,-12.547974775505063,0.5,0.5,0.0001
dry,0.18109999999999998,0.0025,0.17859999999999998,3.7161197551051837,3.250451000530856,-0.4656687545743279,-12.531048116374475,0.5,0.5,0.0001
dry,0.184,0.0025,0.1815,3.6975209475053905,3.2348071513455174,-0.46271379615987307,-12.514162941309435,0.5,0.5,0.0001
dry,0.1869,0.0025,0.1844,3.6789779560118676,3.2192043428666794,-0.45977361314518816,-12.49731905552372,0.5,0.5,0.0001
dry,0.1898,0.0025,0.1873,3.6604905297399895,3.2036424138041366,-0.45684811593585284,-12.480516264805184,0.5,0.5,0.0001
dry,0.19269999999999998,0.0025,0.19019999999999998,3.6420584193064642,3.1881212037117375,-0.4539372155947268,-12.463754375504152,0.5,0.5,0.0001
dry,0.1956,0.0025,0.1931,3.62368137681812,3.172640552981876,-0.451040823836244,-12.447033194521469,0.5,0.5,0.0001
dry,0.1985,0.0025,0.196,3.605359155860789,3.1572003028400166,-0.4481588530207725,-12.43035252929672,0.5,0.5,0.0001
dry,0.2014,0.0025,0.1989,3.5870915114883,3.1418002953392636,-0.44529121614903655,-12.413712187796493,0.5,0.5,0.0001
