phi_total,phi_mc_abs,delta_lambda_pct
0.0158,0.0049,-23.51527755565434
0.0158,0.004968749999999999,-23.766393957953092
0.0158,0.005037499999999999,-24.015855762116328
0.0158,0.00510625,-24.26367926758901
0.0158,0.005174999999999999,-24.509880560428954
0.0158,0.00524375,-24.75447551678758
0.0158,0.0053124999999999995,-24.997479806322474
0.0158,0.005381249999999999,-25.2389088955439
0.0158,0.00545,-25.478778051095997
0.0158,0.005518749999999999,-25.71710234297509
0.0158,0.005587499999999999,-25.953896647685635
0.0158,0.00565625,-26.189175651335844
0.0158,0.005724999999999999,-26.422953852673743
0.0158,0.0057937499999999986,-26.65524556606569
0.0158,0.0058625,-26.886064924418033
0.0158,0.005931249999999999,-27.11542588204343
0.0158,0.006,-27.34334221747297
0.0187,0.0005,-3.0410975407208505
0.0187,0.00056875,-3.4447695641362377
0.0187,0.0006375,-3.8450764862543023
0.0187,0.00070625,-4.2420602107840715
0.0187,0.000775,-4.635761948572757
0.0187,0.00084375,-5.0262222318672265
0.0187,0.0009124999999999999,-5.413480928224305
0.0187,0.00098125,-5.797577254080668
0.0187,0.00105,-6.178549787991328
0.0187,0.00111875,-6.556436483546693
0.0187,0.0011875,-6.931274681976831
0.0187,0.00125625,-7.3031011244519295
0.0187,0.0013249999999999998,-7.67195196408759
0.0187,0.00139375,-8.037862777662943
0.0187,0.0014624999999999998,-8.400868577059578
0.0187,0.0015312499999999998,-8.761003820429284
0.0187,0.0015999999999999999,-9.118302423097822
0.0187,0.0016687499999999999,-9.472797768212
0.0187,0.0017375,-9.824522717137228
0.0187,0.00180625,-10.173509619612165
0.0187,0.001875,-10.519790323667154
0.0187,0.0019437499999999997,-10.863396185312883
0.0187,0.0020124999999999995,-11.20435807800529
0.0187,0.0020812499999999998,-11.54270640189286
0.0187,0.00215,-11.878471092852081
0.0187,0.00221875,-12.211681631316702
0.0187,0.0022874999999999996,-12.542367050906352
0.0187,0.00235625,-12.870555946859449
0.0187,0.0024249999999999996,-13.196276484276238
0.0187,0.00249375,-13.519556406176216
0.0187,0.0025624999999999997,-13.840423041375185
0.0187,0.00263125,-14.158903312186746
0.0187,0.0026999999999999997,-14.475023741952274
0.0187,0.0027687499999999995,-14.78881046240436
0.0187,0.0028374999999999997,-15.10028922086773
0.0187,0.0029062499999999995,-15.409485387301796
0.0187,0.0029749999999999998,-15.716423961188942
0.0187,0.0030437499999999996,-16.02112957827266
0.0187,0.0031125,-16.32362651714883
0.0187,0.0031812499999999996,-16.623938705714444
0.0187,0.00325,-16.922089727477058
0.0187,0.0033187499999999997,-17.21810282772849
0.0187,0.0033874999999999995,-17.512000919586065
0.0187,0.0034562499999999997,-17.803806589905115
0.0187,0.0035249999999999995,-18.09354210506537
0.0187,0.0035937499999999997,-18.381229416634795
0.0187,0.0036624999999999995,-18.66689016691358
0.0187,0.0037312499999999998,-18.950545694361598
0.0187,0.0037999999999999996,-19.23221703891176
0.0187,0.0038687499999999994,-19.51192494717239
0.0187,0.0039375,-19.78968987752114
0.0187,0.004006249999999999,-20.065532005093043
0.0187,0.004075,-20.339471226665523
0.0187,0.00414375,-20.61152716544245
0.0187,0.004212499999999999,-20.88171917573998
0.0187,0.0042812499999999995,-21.150066347576445
0.0187,0.00435,-21.41658751116838
0.0187,0.004418749999999999,-21.681301241335277
0.0187,0.0044875,-21.944225861814928
0.0187,0.0045562499999999995,-22.205379449491517
0.0187,0.004624999999999999,-22.464779838538632
0.0187,0.00469375,-22.72244462447921
0.0187,0.004762499999999999,-22.978391168163967
0.0187,0.004831249999999999,-23.23263659967087
0.0187,0.0049,-23.485197822126764
0.0187,0.004968749999999999,-23.73609151545366
0.0187,0.005037499999999999,-23.985334140040635
0.0187,0.00510625,-24.232941940343984
0.0187,0.005174999999999999,-24.478930948416224
0.0187,0.00524375,-24.72331698736664
0.0187,0.0053124999999999995,-24.966115674753894
0.0187,0.005381249999999999,-25.20734242591317
0.0187,0.00545,-25.44701245721861
0.0187,0.005518749999999999,-25.68514078928299
0.0187,0.005587499999999999,-25.92174225009564
0.0187,0.00565625,-26.15683147810043
0.0187,0.005724999999999999,-26.39042292521472
0.0187,0.0057937499999999986,-26.622530859791016
0.0187,0.0058625,-26.85316936952205
0.0187,0.005931249999999999,-27.08235236429119
0.0187,0.006,-27.310093578968882
0.0216,0.0005,-3.036187670705451
0.0216,0.00056875,-3.4392308628935213
0.0216,0.0006375,-3.8389194962228923
0.0216,0.00070625,-4.235295277498417
0.0216,0.000775,-4.628399224997725
0.0216,0.00084375,-5.018271682621489
0.0216,0.0009124999999999999,-5.4049523336956184
0.0216,0.00098125,-5.788480214436374
0.0216,0.00105,-6.16889372708698
0.0216,0.00111875,-6.54623065273596
0.0216,0.0011875,-6.920528163825319
0.0216,0.00125625,-7.291822836357937
0.0216,0.0013249999999999998,-7.660150661812232
0.0216,0.00139375,-8.025547058772418
0.0216,0.0014624999999999998,-8.388046884282023
0.0216,0.0015312499999999998,-8.747684444928733
0.0216,0.0015999999999999999,-9.104493507667321
0.0216,0.0016687499999999999,-9.458507310388612
0.0216,0.0017375,-9.80975857224079
0.0216,0.00180625,-10.15827950370996
0.0216,0.001875,-10.504101816466756
0.0216,0.0019437499999999997,-10.847256732985047
0.0216,0.0020124999999999995,-11.187774995938716
0.0216,0.0020812499999999998,-11.52568687738295
0.0216,0.00215,-11.861022187725327
0.0216,0.00221875,-12.193810284492582
0.0216,0.0022874999999999996,-12.524080080898216
0.0216,0.00235625,-12.851860054216546
0.0216,0.0024249999999999996,-13.177178253967748
0.0216,0.00249375,-13.500062309919564
0.0216,0.0025624999999999997,-13.820539439909775
0.0216,0.00263125,-14.138636457494528
0.0216,0.0026999999999999997,-14.454379779426755
0.0216,0.0027687499999999995,-14.767795432969386
0.0216,0.0028374999999999997,-15.078909063047249
0.0216,0.0029062499999999995,-15.387745939242045
0.0216,0.0029749999999999998,-15.694330962634263
0.0216,0.0030437499999999996,-15.998688672496089
0.0216,0.0031125,-16.300843252838746
0.0216,0.0031812499999999996,-16.60081853881844
0.0216,0.00325,-16.89863802300396
0.0216,0.0033187499999999997,-17.194324861509784
0.0216,0.0033874999999999995,-17.48790187999789
0.0216,0.0034562499999999997,-17.779391579551433
0.0216,0.0035249999999999995,-18.068816142423668
0.0216,0.0035937499999999997,-18.356197437665227
