state,phi_total,alpha_pore,phi_mc_abs,delta_lambda_pct
dry,0.18,0.059375000000000004,0.0053124999999999995,-31.365065319525506
dry,0.18,0.059375000000000004,0.005381249999999999,-31.474938101069714
dry,0.18,0.059375000000000004,0.00545,-31.5844553010832
dry,0.18,0.059375000000000004,0.005518749999999999,-31.69361864293129
dry,0.18,0.059375000000000004,0.005587499999999999,-31.802429838860572
dry,0.18,0.059375000000000004,0.00565625,-31.91089059008853
dry,0.18,0.059375000000000004,0.005724999999999999,-32.01900258689214
dry,0.18,0.059375000000000004,0.0057937499999999986,-32.126767508695686
dry,0.18,0.059375000000000004,0.0058625,-32.23418702415772
dry,0.18,0.059375000000000004,0.005931249999999999,-32.341262791257215
dry,0.18,0.059375000000000004,0.006,-32.44799645737881
dry,0.18,0.0625,0.0005,-21.31670301707635
dry,0.18,0.0625,0.00056875,-21.46205433738149
dry,0.18,0.0625,0.0006375,-21.6068638286996
dry,0.18,0.0625,0.00070625,-21.75113451507425
dry,0.18,0.0625,0.000775,-21.894869398087085
dry,0.18,0.0625,0.00084375,-22.038071457066128
dry,0.18,0.0625,0.0009124999999999999,-22.18074364929157
dry,0.18,0.0625,0.00098125,-22.322888910199353
dry,0.18,0.0625,0.00105,-22.464510153582435
dry,0.18,0.0625,0.00111875,-22.605610271790038
dry,0.18,0.0625,0.0011875,-22.746192135924428
dry,0.18,0.0625,0.00125625,-22.886258596035656
dry,0.18,0.0625,0.0013249999999999998,-23.025812481314187
dry,0.18,0.0625,0.00139375,-23.164856600281425
dry,0.18,0.0625,0.0014624999999999998,-23.30339374097811
dry,0.18,0.0625,0.0015312499999999998,-23.441426671150598
dry,0.18,0.0625,0.0015999999999999999,-23.57895813843525
dry,0.18,0.0625,0.0016687499999999999,-23.715990870540736
dry,0.18,0.0625,0.0017375,-23.852527575428343
dry,0.18,0.0625,0.00180625,-23.988570941490405
dry,0.18,0.0625,0.001875,-24.124123637726672
dry,0.18,0.0625,0.0019437499999999997,-24.259188313918912
dry,0.18,0.0625,0.0020124999999999995,-24.393767600803635
dry,0.18,0.0625,0.0020812499999999998,-24.527864110242714
dry,0.18,0.0625,0.00215,-24.66148043539255
dry,0.18,0.0625,0.00221875,-24.794619150871068
dry,0.18,0.0625,0.0022874999999999996,-24.927282812923213
dry,0.18,0.0625,0.00235625,-25.05947395958448
dry,0.18,0.0625,0.0024249999999999996,-25.19119511084277
dry,0.18,0.0625,0.00249375,-25.322448768798616
dry,0.18,0.0625,0.0025624999999999997,-25.453237417823395
dry,0.18,0.0625,0.00263125,-25.583563524716325
dry,0.18,0.0625,0.0026999999999999997,-25.713429538859437
dry,0.18,0.0625,0.0027687499999999995,-25.84283789237101
dry,0.18,0.0625,0.0028374999999999997,-25.9717910002574
dry,0.18,0.0625,0.0029062499999999995,-26.100291260563363
dry,0.18,0.0625,0.0029749999999999998,-26.228341054520598
dry,0.18,0.0625,0.0030437499999999996,-26.355942746694886
dry,0.18,0.0625,0.0031125,-26.483098685131644
dry,0.18,0.0625,0.0031812499999999996,-26.609811201499884
dry,0.18,0.0625,0.00325,-26.736082611234874
dry,0.18,0.0625,0.0033187499999999997,-26.86191521367903
dry,0.18,0.0625,0.0033874999999999995,-26.98731129222154
dry,0.18,0.0625,0.0034562499999999997,-27.112273114436505
dry,0.18,0.0625,0.0035249999999999995,-27.23680293221963
dry,0.18,0.0625,0.0035937499999999997,-27.360902981923406
dry,0.18,0.0625,0.0036624999999999995,-27.4845754844911
dry,0.18,0.0625,0.0037312499999999998,-27.607822645589167
dry,0.18,0.0625,0.0037999999999999996,-27.73064665573839
dry,0.18,0.0625,0.0038687499999999994,-27.853049690443687
dry,0.18,0.0625,0.0039375,-27.975033910322566
dry,0.18,0.0625,0.004006249999999999,-28.09660146123218
dry,0.18,0.0625,0.004075,-28.217754474395203
dry,0.18,0.0625,0.00414375,-28.33849506652442
dry,0.18,0.0625,0.004212499999999999,-28.458825339945932
dry,0.18,0.0625,0.0042812499999999995,-28.578747382721204
dry,0.18,0.0625,0.00435,-28.698263268767818
dry,0.18,0.0625,0.004418749999999999,-28.817375057979106
dry,0.18,0.0625,0.0044875,-28.936084796342374
dry,0.18,0.0625,0.0045562499999999995,-29.054394516056206
dry,0.18,0.0625,0.004624999999999999,-29.172306235646236
dry,0.18,0.0625,0.00469375,-29.289821960080104
dry,0.18,0.0625,0.004762499999999999,-29.406943680881067
dry,0.18,0.0625,0.004831249999999999,-29.523673376240446
dry,0.18,0.0625,0.0049,-29.64001301112906
dry,0.18,0.0625,0.004968749999999999,-29.755964537407355
dry,0.18,0.0625,0.005037499999999999,-29.87152989393482
dry,0.18,0.0625,0.00510625,-29.986711006677794
dry,0.18,0.0625,0.005174999999999999,-30.101509788816607
dry,0.18,0.0625,0.00524375,-30.21592814085143
dry,0.18,0.0625,0.0053124999999999995,-30.32996795070719
dry,0.18,0.0625,0.005381249999999999,-30.44363109383746
dry,0.18,0.0625,0.00545,-30.556919433327142
dry,0.18,0.0625,0.005518749999999999,-30.669834819994424
dry,0.18,0.0625,0.005587499999999999,-30.782379092491375
dry,0.18,0.0625,0.00565625,-30.89455407740394
dry,0.18,0.0625,0.005724999999999999,-31.006361589350647
dry,0.18,0.0625,0.0057937499999999986,-31.1178034310805
dry,0.18,0.0625,0.0058625,-31.2288813935698
dry,0.18,0.0625,0.005931249999999999,-31.33959725611816
dry,0.18,0.0625,0.006,-31.449952786443554
dry,0.18,0.065625,0.0005,-20.04096676176856
dry,0.18,0.065625,0.00056875,-20.191611737335972
dry,0.18,0.065625,0.0006375,-20.34168410484048
dry,0.18,0.065625,0.00070625,-20.49118712285108
dry,0.18,0.065625,0.000775,-20.640124025258658
dry,0.18,0.065625,0.00084375,-20.78849802150916
dry,0.18,0.065625,0.0009124999999999999,-20.93631229683414
dry,0.18,0.065625,0.00098125,-21.083570012478653
dry,0.18,0.065625,0.00105,-21.230274305926695
dry,0.18,0.065625,0.00111875,-21.376428291123904
dry,0.18,0.065625,0.0011875,-21.522035058698027
dry,0.18,0.065625,0.00125625,-21.66709767617671
dry,0.18,0.065625,0.0013249999999999998,-21.81161918820289
dry,0.18,0.065625,0.00139375,-21.955602616747843
dry,0.18,0.065625,0.0014624999999999998,-22.099050961321815
dry,0.18,0.065625,0.0015312499999999998,-22.241967199182316
dry,0.18,0.065625,0.0015999999999999999,-22.38435428554006
dry,0.18,0.065625,0.0016687499999999999,-22.526215153762738
dry,0.18,0.065625,0.0017375,-22.66755271557637
dry,0.18,0.065625,0.00180625,-22.808369861264584
dry,0.18,0.065625,0.001875,-22.94866945986564
dry,0.18,0.065625,0.0019437499999999997,-23.08845435936719
dry,0.18,0.065625,0.0020124999999999995,-23.227727386899108
dry,0.18,0.065625,0.0020812499999999998,-23.366491348924004
dry,0.18,0.065625,0.00215,-23.504749031425792
dry,0.18,0.065625,0.00221875,-23.642503200096087
dry,0.18,0.065625,0.0022874999999999996,-23.779756600518635
dry,0.18,0.065625,0.00235625,-23.91651195835175
dry,0.18,0.065625,0.0024249999999999996,-24.052771979508748
dry,0.18,0.065625,0.00249375,-24.188539350336395
dry,0.18,0.065625,0.0025624999999999997,-24.323816737791365
dry,0.18,0.065625,0.00263125,-24.458606789615065
dry,0.18,0.065625,0.0026999999999999997,-24.59291213450623
dry,0.18,0.065625,0.0027687499999999995,-24.72673538229185
dry,0.18,0.065625,0.0028374999999999997,-24.860079124096217
dry,0.18,0.065625,0.0029062499999999995,-24.992945932508146
dry,0.18,0.065625,0.0029749999999999998,-25.12533836174649
dry,0.18,0.065625,0.0030437499999999996,-25.2572589478237
dry,0.18,0.065625,0.0031125,-25.388710208707902
dry,0.18,0.065625,0.0031812499999999996,-25.519694644482897
dry,0.18,0.065625,0.00325,-25.650214737506897
dry,0.18,0.065625,0.0033187499999999997,-25.78027295256913
dry,0.18,0.065625,0.0033874999999999995,-25.9098717370452
dry,0.18,0.065625,0.0034562499999999997,-26.03901352105036
dry,0.18,0.065625,0.0035249999999999995,-26.167700717591632
dry,0.18,0.065625,0.0035937499999999997,-26.295935722717967
dry,0.18,0.065625,0.0036624999999999995,-26.423720915669
dry,0.18,0.065625,0.0037312499999999998,-26.551058659022154
dry,0.18,0.065625,0.0037999999999999996,-26.677951298838348
dry,0.18,0.065625,0.0038687499999999994,-26.804401164805935
dry,0.18,0.065625,0.0039375,-26.930410570383398
dry,0.18,0.065625,0.004006249999999999,-27.055981812940352
dry,0.18,0.065625,0.004075,-27.18111717389725
