state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.05,0.0039375,-14.156402894014638
dry,0.05,0.004006249999999999,-14.367841067888184
dry,0.05,0.004075,-14.578232628383335
dry,0.05,0.00414375,-14.787585327377164
dry,0.05,0.004212499999999999,-14.995906840381572
dry,0.05,0.0042812499999999995,-15.203204767481429
dry,0.05,0.00435,-15.409486634258611
dry,0.05,0.004418749999999999,-15.614759892702939
dry,0.05,0.0044875,-15.819031922109344
dry,0.05,0.0045562499999999995,-16.022310029962366
dry,0.05,0.004624999999999999,-16.224601452807256
dry,0.05,0.00469375,-16.42591335710902
dry,0.05,0.004762499999999999,-16.62625284009853
dry,0.05,0.004831249999999999,-16.825626930606607
dry,0.05,0.0049,-17.024042589886086
dry,0.05,0.004968749999999999,-17.221506712422006
dry,0.05,0.005037499999999999,-17.418026126730187
dry,0.05,0.00510625,-17.6136075961444
dry,0.05,0.005174999999999999,-17.808257819592242
dry,0.05,0.00524375,-18.001983432359904
dry,0.05,0.0053124999999999995,-18.194791006846277
dry,0.05,0.005381249999999999,-18.386687053306165
dry,0.05,0.00545,-18.577678020583008
dry,0.05,0.005518749999999999,-18.767770296831294
dry,0.05,0.005587499999999999,-18.956970210228953
dry,0.05,0.00565625,-19.145284029679335
dry,0.05,0.005724999999999999,-19.33271796550381
dry,0.05,0.0057937499999999986,-19.519278170124352
dry,0.05,0.0058625,-19.70497073873683
dry,0.05,0.005931249999999999,-19.889801709974634
dry,0.05,0.006,-20.07377706656356
dry,0.052500000000000005,0.0005,-2.046364747453725
dry,0.052500000000000005,0.00056875,-2.321167392078795
dry,0.052500000000000005,0.0006375,-2.594422563782188
dry,0.052500000000000005,0.00070625,-2.866143297094057
dry,0.052500000000000005,0.000775,-3.136342480566168
dry,0.052500000000000005,0.00084375,-3.4050328588097156
dry,0.052500000000000005,0.0009124999999999999,-3.672227034499086
dry,0.052500000000000005,0.00098125,-3.9379374703424035
dry,0.052500000000000005,0.00105,-4.202176491019211
dry,0.052500000000000005,0.00111875,-4.464956285086036
dry,0.052500000000000005,0.0011875,-4.726288906850604
dry,0.052500000000000005,0.00125625,-4.986186278215044
dry,0.052500000000000005,0.0013249999999999998,-5.244660190488839
dry,0.052500000000000005,0.00139375,-5.501722306172172
dry,0.052500000000000005,0.0014624999999999998,-5.757384160709858
dry,0.052500000000000005,0.0015312499999999998,-6.011657164217142
dry,0.052500000000000005,0.0015999999999999999,-6.26455260317685
dry,0.052500000000000005,0.0016687499999999999,-6.516081642109707
dry,0.052500000000000005,0.0017375,-6.76625532521705
dry,0.052500000000000005,0.00180625,-7.015084577997417
dry,0.052500000000000005,0.001875,-7.2625802088371
dry,0.052500000000000005,0.0019437499999999997,-7.508752910574985
dry,0.052500000000000005,0.0020124999999999995,-7.7536132620426255
dry,0.052500000000000005,0.0020812499999999998,-7.997171729579629
dry,0.052500000000000005,0.00215,-8.239438668524961
dry,0.052500000000000005,0.00221875,-8.480424324684432
dry,0.052500000000000005,0.0022874999999999996,-8.72013883577534
dry,0.052500000000000005,0.00235625,-8.95859223284787
dry,0.052500000000000005,0.0024249999999999996,-9.195794441684464
dry,0.052500000000000005,0.00249375,-9.431755284176973
dry,0.052500000000000005,0.0025624999999999997,-9.666484479682454
dry,0.052500000000000005,0.00263125,-9.899991646357641
dry,0.052500000000000005,0.0026999999999999997,-10.132286302472654
dry,0.052500000000000005,0.0027687499999999995,-10.363377867704388
dry,0.052500000000000005,0.0028374999999999997,-10.593275664409743
dry,0.052500000000000005,0.0029062499999999995,-10.82198891887921
dry,0.052500000000000005,0.0029749999999999998,-11.049526762571196
dry,0.052500000000000005,0.0030437499999999996,-11.275898233327217
dry,0.052500000000000005,0.0031125,-11.501112276568675
dry,0.052500000000000005,0.0031812499999999996,-11.725177746475103
dry,0.052500000000000005,0.00325,-11.948103407144524
dry,0.052500000000000005,0.0033187499999999997,-12.16989793373619
dry,0.052500000000000005,0.0033874999999999995,-12.390569913595861
dry,0.052500000000000005,0.0034562499999999997,-12.610127847364204
dry,0.052500000000000005,0.0035249999999999995,-12.828580150068221
dry,0.052500000000000005,0.0035937499999999997,-13.0459351521965
dry,0.052500000000000005,0.0036624999999999995,-13.262201100758
dry,0.052500000000000005,0.0037312499999999998,-13.47738616032528
dry,0.052500000000000005,0.0037999999999999996,-13.691498414061806
dry,0.052500000000000005,0.0038687499999999994,-13.904545864734299
dry,0.052500000000000005,0.0039375,-14.116536435709559
dry,0.052500000000000005,0.004006249999999999,-14.327477971936936
dry,0.052500000000000005,0.004075,-14.537378240916023
dry,0.052500000000000005,0.00414375,-14.746244933649962
dry,0.052500000000000005,0.004212499999999999,-14.95408566558499
dry,0.052500000000000005,0.0042812499999999995,-15.160907977535965
dry,0.052500000000000005,0.00435,-15.366719336598226
dry,0.052500000000000005,0.004418749999999999,-15.571527137046484
dry,0.052500000000000005,0.0044875,-15.775338701220228
dry,0.052500000000000005,0.0045562499999999995,-15.97816128039636
dry,0.052500000000000005,0.004624999999999999,-16.18000205564928
dry,0.052500000000000005,0.00469375,-16.380868138698325
dry,0.052500000000000005,0.004762499999999999,-16.58076657274308
dry,0.052500000000000005,0.004831249999999999,-16.779704333286528
dry,0.052500000000000005,0.0049,-16.97768832894667
dry,0.052500000000000005,0.004968749999999999,-17.17472540225595
dry,0.052500000000000005,0.005037499999999999,-17.37082233044984
dry,0.052500000000000005,0.00510625,-17.565985826243693
dry,0.052500000000000005,0.005174999999999999,-17.760222538598892
dry,0.052500000000000005,0.00524375,-17.95353905347768
dry,0.052500000000000005,0.0053124999999999995,-18.145941894587843
dry,0.052500000000000005,0.005381249999999999,-18.337437524116392
dry,0.052500000000000005,0.00545,-18.528032343453052
dry,0.052500000000000005,0.005518749999999999,-18.717732693903606
dry,0.052500000000000005,0.005587499999999999,-18.906544857393236
dry,0.052500000000000005,0.00565625,-19.094475057159837
dry,0.052500000000000005,0.005724999999999999,-19.281529458437895
dry,0.052500000000000005,0.0057937499999999986,-19.467714169132616
dry,0.052500000000000005,0.0058625,-19.65303524048467
dry,0.052500000000000005,0.005931249999999999,-19.83749866772601
dry,0.052500000000000005,0.006,-20.021110390726093
dry,0.055,0.0005,-2.039816818123093
dry,0.055,0.00056875,-2.3137608161180374
dry,0.055,0.0006375,-2.5861670281618236
dry,0.055,0.00070625,-2.8570483665660356
dry,0.055,0.000775,-3.12641759948486
dry,0.055,0.00084375,-3.394287352921236
dry,0.055,0.0009124999999999999,-3.6606701126996093
dry,0.055,0.00098125,-3.9255782264059964
